date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
11/7/2021,193991,102906,296897,6,0,8065228,3581935,11647163,248,30,50683,37341,124936,62070,18365,3423,0,79
12/7/2021,270603,161472,432075,41,3,8335831,3743407,12079238,289,33,74266,45785,175196,112234,21090,3413,0,91
13/7/2021,266734,169733,436467,48,17,8602565,3913140,12515705,337,50,70060,46246,178046,119873,18554,3490,0,198
14/7/2021,293391,161559,454950,31,10,8895956,4074699,12970655,368,60,81828,39644,190500,118459,21004,3327,0,188
15/7/2021,315235,159687,474922,26,4,9211191,4234386,13445577,394,64,101310,36119,190604,123304,23289,25,0,271
16/7/2021,281700,132926,414626,49,0,9492891,4367312,13860203,443,64,95627,31922,163445,100813,22536,64,0,219
17/7/2021,261924,130103,392027,75,3,9754815,4497415,14252230,518,67,96801,34736,146325,85909,18584,9342,0,330
18/7/2021,251301,103030,354331,81,1,10006116,4600445,14606561,599,68,98409,24737,133637,68717,19235,9565,0,31
19/7/2021,286024,153309,439333,14,12,10292140,4753754,15045894,613,80,129243,38916,135234,104183,21431,10145,0,181
20/7/2021,207346,102489,309835,21,7,10499486,4856243,15355729,634,87,71389,11690,117144,80643,18800,10152,0,17
21/7/2021,287793,168887,456680,93,4,10787279,5025130,15812409,727,91,123664,32317,143909,126277,20125,10267,0,121
22/7/2021,341798,175852,517650,44,2,11129077,5200982,16330059,771,93,169927,33267,151271,131921,20569,10643,0,52
23/7/2021,313541,163966,477507,81,2,11442618,5364948,16807566,852,95,148220,31730,144717,121582,19698,10636,0,924
24/7/2021,292744,137249,429993,67,2,11735362,5502197,17237559,919,97,148210,26877,127011,101224,17508,9103,0,60
25/7/2021,289194,124725,413919,50,0,12024556,5626922,17651478,969,97,137770,26900,133358,87525,18055,10283,0,28
26/7/2021,340767,194926,535693,56,2,12365323,5821848,18187171,1025,99,191023,35503,131619,146478,18101,12902,0,67
27/7/2021,365490,204885,570375,93,1,12730813,6026733,18757546,1118,100,213603,38564,133513,153339,18300,12952,0,104
28/7/2021,373486,206288,579774,777,7,13104299,6233021,19337320,1895,107,205317,38766,156046,153841,12035,13551,0,218
