date,state,cases_new,cases_import,cases_recovered,population,daily
3/3/2021,Selangor,640,2,693,6538000,2122
3/3/2021,Terengganu,5,0,71,1259300,2274
3/3/2021,W.P. Kuala Lumpur,92,0,108,1773700,2580
3/3/2021,W.P. Labuan,0,0,7,99600,297
3/3/2021,W.P. Putrajaya,3,0,1,110000,483
4/3/2021,Johor,255,1,381,3781000,1968
4/3/2021,Kedah,12,0,171,2185100,724
4/3/2021,Kelantan,44,0,28,1906700,3408
4/3/2021,Melaka,3,0,38,932700,988
4/3/2021,Negeri Sembilan,91,0,750,1128800,1231
4/3/2021,Pahang,13,0,33,1678700,1131
4/3/2021,Perak,101,0,103,2510300,1028
4/3/2021,Perlis,1,0,2,254900,298
4/3/2021,Pulau Pinang,337,0,130,1773600,1124
4/3/2021,Sabah,78,0,94,3908500,1746
4/3/2021,Sarawak,361,0,279,2816500,453
4/3/2021,Selangor,630,2,717,6538000,2263
4/3/2021,Terengganu,10,0,18,1259300,4
4/3/2021,W.P. Kuala Lumpur,120,6,174,1773700,2436
4/3/2021,W.P. Labuan,0,0,3,99600,209
4/3/2021,W.P. Putrajaya,7,0,1,110000,548
5/3/2021,Johor,463,0,765,3781000,332
5/3/2021,Kedah,9,0,26,2185100,139
5/3/2021,Kelantan,57,0,40,1906700,741
5/3/2021,Melaka,10,0,22,932700,573
5/3/2021,Negeri Sembilan,77,0,108,1128800,535
5/3/2021,Pahang,38,0,23,1678700,2058
5/3/2021,Perak,109,0,563,2510300,1018
5/3/2021,Perlis,1,0,2,254900,330
5/3/2021,Pulau Pinang,119,0,161,1773600,1029
5/3/2021,Sabah,97,0,93,3908500,3071
5/3/2021,Sarawak,250,0,178,2816500,1325
5/3/2021,Selangor,794,2,1110,6538000,2467
5/3/2021,Terengganu,16,0,17,1259300,62
5/3/2021,W.P. Kuala Lumpur,108,3,165,1773700,252
5/3/2021,W.P. Labuan,2,0,1,99600,164
5/3/2021,W.P. Putrajaya,4,0,1,110000,236
6/3/2021,Johor,139,0,232,3781000,718
6/3/2021,Kedah,11,0,45,2185100,108
6/3/2021,Kelantan,35,0,223,1906700,0
6/3/2021,Melaka,10,0,13,932700,0
6/3/2021,Negeri Sembilan,89,0,129,1128800,0
6/3/2021,Pahang,17,0,31,1678700,3242
6/3/2021,Perak,68,0,247,2510300,799
6/3/2021,Perlis,0,0,0,254900,0
6/3/2021,Pulau Pinang,84,0,122,1773600,120
6/3/2021,Sabah,74,0,105,3908500,3928
6/3/2021,Sarawak,221,0,210,2816500,3590
6/3/2021,Selangor,826,0,998,6538000,3084
6/3/2021,Terengganu,22,0,7,1259300,106
6/3/2021,W.P. Kuala Lumpur,81,3,175,1773700,0
6/3/2021,W.P. Labuan,1,0,1,99600,83
6/3/2021,W.P. Putrajaya,2,0,10,110000,0
7/3/2021,Johor,158,0,327,3781000,1206
7/3/2021,Kedah,15,0,27,2185100,858
7/3/2021,Kelantan,12,0,52,1906700,223
7/3/2021,Melaka,3,0,40,932700,0
7/3/2021,Negeri Sembilan,48,0,46,1128800,0
7/3/2021,Pahang,12,0,8,1678700,656
7/3/2021,Perak,48,0,631,2510300,3
7/3/2021,Perlis,24,0,0,254900,0
7/3/2021,Pulau Pinang,172,0,137,1773600,120
7/3/2021,Sabah,99,0,92,3908500,2363
7/3/2021,Sarawak,201,0,188,2816500,4312
7/3/2021,Selangor,746,1,611,6538000,354
7/3/2021,Terengganu,10,0,6,1259300,2343
7/3/2021,W.P. Kuala Lumpur,125,9,338,1773700,0
7/3/2021,W.P. Labuan,8,0,1,99600,100
7/3/2021,W.P. Putrajaya,2,0,2,110000,0
8/3/2021,Johor,120,2,162,3781000,3028
8/3/2021,Kedah,9,0,19,2185100,3110
8/3/2021,Kelantan,28,0,53,1906700,1196
8/3/2021,Melaka,4,0,11,932700,99
8/3/2021,Negeri Sembilan,89,0,63,1128800,1123
8/3/2021,Pahang,3,0,14,1678700,1051
8/3/2021,Perak,49,0,158,2510300,2243
8/3/2021,Perlis,17,0,1,254900,840
8/3/2021,Pulau Pinang,76,0,162,1773600,1201
8/3/2021,Sabah,71,0,124,3908500,2041
8/3/2021,Sarawak,252,0,222,2816500,3142
8/3/2021,Selangor,726,5,917,6538000,3011
8/3/2021,Terengganu,13,0,12,1259300,2229
8/3/2021,W.P. Kuala Lumpur,71,2,144,1773700,2499
8/3/2021,W.P. Labuan,0,0,2,99600,31
8/3/2021,W.P. Putrajaya,1,0,12,110000,284
9/3/2021,Johor,165,0,393,3781000,2100
9/3/2021,Kedah,25,0,21,2185100,2299
9/3/2021,Kelantan,16,0,73,1906700,1019
9/3/2021,Melaka,0,0,16,932700,954
9/3/2021,Negeri Sembilan,45,0,84,1128800,2410
9/3/2021,Pahang,2,0,8,1678700,943
9/3/2021,Perak,34,0,94,2510300,2906
9/3/2021,Perlis,1,0,0,254900,1100
9/3/2021,Pulau Pinang,143,0,98,1773600,1379
9/3/2021,Sabah,64,0,121,3908500,2998
9/3/2021,Sarawak,163,1,207,2816500,2112
9/3/2021,Selangor,464,0,998,6538000,3895
9/3/2021,Terengganu,36,0,7,1259300,2183
9/3/2021,W.P. Kuala Lumpur,119,1,218,1773700,3291
9/3/2021,W.P. Labuan,0,0,0,99600,26
9/3/2021,W.P. Putrajaya,3,0,7,110000,369
10/3/2021,Johor,273,8,336,3781000,1641
10/3/2021,Kedah,20,0,17,2185100,2584
10/3/2021,Kelantan,19,0,58,1906700,798
10/3/2021,Melaka,11,0,44,932700,894
10/3/2021,Negeri Sembilan,10,0,557,1128800,2360
10/3/2021,Pahang,1,0,41,1678700,1094
10/3/2021,Perak,83,0,185,2510300,1523
10/3/2021,Perlis,7,0,4,254900,1086
10/3/2021,Pulau Pinang,99,0,144,1773600,2138
10/3/2021,Sabah,54,0,57,3908500,2895
10/3/2021,Sarawak,199,0,154,2816500,684
10/3/2021,Selangor,561,2,472,6538000,4875
10/3/2021,Terengganu,8,0,14,1259300,1820
10/3/2021,W.P. Kuala Lumpur,103,0,53,1773700,3807
10/3/2021,W.P. Labuan,0,0,0,99600,126
10/3/2021,W.P. Putrajaya,0,0,1,110000,396
11/3/2021,Johor,170,2,218,3781000,2103
11/3/2021,Kedah,18,0,11,2185100,1643
11/3/2021,Kelantan,28,0,49,1906700,356
11/3/2021,Melaka,71,0,23,932700,869
11/3/2021,Negeri Sembilan,79,0,116,1128800,60
11/3/2021,Pahang,7,0,11,1678700,1880
11/3/2021,Perak,69,0,89,2510300,3716
11/3/2021,Perlis,2,0,0,254900,765
11/3/2021,Pulau Pinang,169,0,304,1773600,2875
11/3/2021,Sabah,61,0,78,3908500,1950
11/3/2021,Sarawak,168,1,262,2816500,18
11/3/2021,Selangor,712,1,746,6538000,5086
11/3/2021,Terengganu,4,0,11,1259300,0
11/3/2021,W.P. Kuala Lumpur,86,1,178,1773700,4755
11/3/2021,W.P. Labuan,1,0,0,99600,2
11/3/2021,W.P. Putrajaya,2,0,8,110000,397
12/3/2021,Johor,135,1,299,3781000,720
12/3/2021,Kedah,23,0,36,2185100,714
12/3/2021,Kelantan,43,0,56,1906700,0
12/3/2021,Melaka,25,0,13,932700,607
12/3/2021,Negeri Sembilan,32,0,75,1128800,1403
12/3/2021,Pahang,4,0,37,1678700,2534
12/3/2021,Perak,44,0,87,2510300,7317
12/3/2021,Perlis,25,0,0,254900,585
12/3/2021,Pulau Pinang,132,0,147,1773600,2854
12/3/2021,Sabah,57,1,88,3908500,1430
12/3/2021,Sarawak,173,0,233,2816500,894
12/3/2021,Selangor,751,0,802,6538000,3751
12/3/2021,Terengganu,16,0,3,1259300,0
12/3/2021,W.P. Kuala Lumpur,108,5,161,1773700,3136
12/3/2021,W.P. Labuan,3,0,3,99600,6
12/3/2021,W.P. Putrajaya,4,0,2,110000,92
13/3/2021,Johor,101,0,328,3781000,1570
13/3/2021,Kedah,13,0,12,2185100,568
13/3/2021,Kelantan,40,0,54,1906700,0
13/3/2021,Melaka,2,0,21,932700,230
13/3/2021,Negeri Sembilan,6,0,24,1128800,14
13/3/2021,Pahang,8,0,3,1678700,3296
13/3/2021,Perak,72,0,96,2510300,3235
13/3/2021,Perlis,29,0,1,254900,216
13/3/2021,Pulau Pinang,178,0,117,1773600,799
13/3/2021,Sabah,71,0,77,3908500,2725
13/3/2021,Sarawak,222,0,226,2816500,1723
13/3/2021,Selangor,551,9,719,6538000,2461
13/3/2021,Terengganu,14,0,14,1259300,0
13/3/2021,W.P. Kuala Lumpur,158,2,131,1773700,0
13/3/2021,W.P. Labuan,1,1,5,99600,0
13/3/2021,W.P. Putrajaya,4,0,2,110000,0
14/3/2021,Johor,121,0,289,3781000,1137
14/3/2021,Kedah,33,0,10,2185100,1430
14/3/2021,Kelantan,26,0,54,1906700,72
14/3/2021,Melaka,4,0,8,932700,0
14/3/2021,Negeri Sembilan,21,0,156,1128800,0
14/3/2021,Pahang,5,0,13,1678700,197
14/3/2021,Perak,101,0,79,2510300,1367
14/3/2021,Perlis,0,0,3,254900,0
14/3/2021,Pulau Pinang,154,0,79,1773600,505
14/3/2021,Sabah,39,0,158,3908500,2718
14/3/2021,Sarawak,178,6,168,2816500,1065
14/3/2021,Selangor,577,8,576,6538000,547
14/3/2021,Terengganu,37,0,30,1259300,1036
14/3/2021,W.P. Kuala Lumpur,55,0,155,1773700,0
14/3/2021,W.P. Labuan,1,0,1,99600,0
14/3/2021,W.P. Putrajaya,2,0,3,110000,0
15/3/2021,Johor,118,2,520,3781000,1797
15/3/2021,Kedah,27,0,16,2185100,2647
15/3/2021,Kelantan,25,0,17,1906700,466
15/3/2021,Melaka,2,0,4,932700,288
15/3/2021,Negeri Sembilan,80,0,117,1128800,699
15/3/2021,Pahang,17,0,6,1678700,199
15/3/2021,Perak,37,0,41,2510300,1638
15/3/2021,Perlis,0,0,10,254900,470
15/3/2021,Pulau Pinang,142,0,112,1773600,1789
15/3/2021,Sabah,29,0,126,3908500,4162
15/3/2021,Sarawak,251,0,200,2816500,721
15/3/2021,Selangor,379,3,706,6538000,2519
15/3/2021,Terengganu,39,0,6,1259300,820
15/3/2021,W.P. Kuala Lumpur,61,4,91,1773700,1728
15/3/2021,W.P. Labuan,0,0,1,99600,0
15/3/2021,W.P. Putrajaya,1,0,0,110000,342
16/3/2021,Johor,91,0,155,3781000,1437
16/3/2021,Kedah,32,0,15,2185100,2676
16/3/2021,Kelantan,67,0,30,1906700,664
16/3/2021,Melaka,1,0,3,932700,835
16/3/2021,Negeri Sembilan,17,0,36,1128800,1629
16/3/2021,Pahang,2,0,1,1678700,407
16/3/2021,Perak,24,0,60,2510300,4746
16/3/2021,Perlis,0,0,12,254900,798
16/3/2021,Pulau Pinang,175,0,100,1773600,2036
16/3/2021,Sabah,38,0,70,3908500,3588
16/3/2021,Sarawak,183,0,208,2816500,536
16/3/2021,Selangor,323,0,552,6538000,3164
16/3/2021,Terengganu,23,0,8,1259300,775
16/3/2021,W.P. Kuala Lumpur,86,4,114,1773700,1949
16/3/2021,W.P. Labuan,1,0,0,99600,0
16/3/2021,W.P. Putrajaya,0,0,1,110000,218
17/3/2021,Johor,169,4,334,3781000,891
17/3/2021,Kedah,26,0,9,2185100,1637
17/3/2021,Kelantan,19,0,19,1906700,1363
17/3/2021,Melaka,20,0,4,932700,798
17/3/2021,Negeri Sembilan,46,0,20,1128800,1471
17/3/2021,Pahang,3,0,14,1678700,643
17/3/2021,Perak,36,0,51,2510300,2830
17/3/2021,Perlis,1,0,1,254900,795
17/3/2021,Pulau Pinang,69,0,63,1773600,1740
17/3/2021,Sabah,31,0,81,3908500,2514
17/3/2021,Sarawak,225,0,222,2816500,174
17/3/2021,Selangor,499,0,448,6538000,3922
17/3/2021,Terengganu,15,0,11,1259300,2
17/3/2021,W.P. Kuala Lumpur,54,3,65,1773700,1839
17/3/2021,W.P. Labuan,1,0,0,99600,0
17/3/2021,W.P. Putrajaya,5,0,4,110000,228
18/3/2021,Johor,142,0,202,3781000,1429
18/3/2021,Kedah,38,0,22,2185100,458
18/3/2021,Kelantan,20,0,26,1906700,715
18/3/2021,Melaka,8,0,5,932700,619
18/3/2021,Negeri Sembilan,23,0,42,1128800,1051
18/3/2021,Pahang,14,0,6,1678700,1029
18/3/2021,Perak,39,0,43,2510300,3092
18/3/2021,Perlis,0,0,8,254900,726
18/3/2021,Pulau Pinang,104,0,102,1773600,1454
18/3/2021,Sabah,73,0,47,3908500,2021
18/3/2021,Sarawak,303,0,231,2816500,98
18/3/2021,Selangor,353,2,646,6538000,3655
18/3/2021,Terengganu,15,0,40,1259300,0
18/3/2021,W.P. Kuala Lumpur,79,4,83,1773700,1686
18/3/2021,W.P. Labuan,2,0,0,99600,2
18/3/2021,W.P. Putrajaya,0,0,0,110000,64
19/3/2021,Johor,137,0,446,3781000,18
19/3/2021,Kedah,25,0,21,2185100,306
19/3/2021,Kelantan,52,0,27,1906700,0
19/3/2021,Melaka,54,0,58,932700,330
19/3/2021,Negeri Sembilan,41,0,64,1128800,275
19/3/2021,Pahang,13,0,13,1678700,2167
19/3/2021,Perak,100,0,69,2510300,2249
19/3/2021,Perlis,0,0,12,254900,160
19/3/2021,Pulau Pinang,182,0,174,1773600,1844
19/3/2021,Sabah,33,0,78,3908500,992
19/3/2021,Sarawak,407,0,193,2816500,1674
19/3/2021,Selangor,348,1,720,6538000,3149
19/3/2021,Terengganu,6,0,4,1259300,6
19/3/2021,W.P. Kuala Lumpur,175,10,110,1773700,1334
19/3/2021,W.P. Labuan,2,0,4,99600,0
19/3/2021,W.P. Putrajaya,1,0,3,110000,19
20/3/2021,Johor,130,0,143,3781000,728
20/3/2021,Kedah,46,0,18,2185100,6
20/3/2021,Kelantan,63,0,50,1906700,360
20/3/2021,Melaka,18,0,18,932700,0
20/3/2021,Negeri Sembilan,25,0,57,1128800,0
20/3/2021,Pahang,3,0,15,1678700,3116
20/3/2021,Perak,37,0,108,2510300,1321
20/3/2021,Perlis,0,0,50,254900,2
20/3/2021,Pulau Pinang,328,0,201,1773600,1884
20/3/2021,Sabah,102,0,41,3908500,1403
20/3/2021,Sarawak,154,0,211,2816500,4266
20/3/2021,Selangor,652,0,591,6538000,559
20/3/2021,Terengganu,32,0,5,1259300,0
20/3/2021,W.P. Kuala Lumpur,78,2,72,1773700,0
20/3/2021,W.P. Labuan,3,0,1,99600,127
20/3/2021,W.P. Putrajaya,0,0,4,110000,0
21/3/2021,Johor,141,3,119,3781000,1403
21/3/2021,Kedah,30,0,17,2185100,722
21/3/2021,Kelantan,30,0,18,1906700,509
21/3/2021,Melaka,10,0,8,932700,0
21/3/2021,Negeri Sembilan,22,0,5,1128800,0
21/3/2021,Pahang,11,0,13,1678700,3007
21/3/2021,Perak,55,0,85,2510300,671
21/3/2021,Perlis,5,0,3,254900,1
21/3/2021,Pulau Pinang,205,0,177,1773600,1437
21/3/2021,Sabah,50,0,47,3908500,336
21/3/2021,Sarawak,276,2,169,2816500,4385
21/3/2021,Selangor,356,2,493,6538000,596
21/3/2021,Terengganu,18,0,15,1259300,2082
21/3/2021,W.P. Kuala Lumpur,115,4,74,1773700,2
21/3/2021,W.P. Labuan,0,0,1,99600,344
21/3/2021,W.P. Putrajaya,3,0,3,110000,0
22/3/2021,Johor,86,0,179,3781000,2767
22/3/2021,Kedah,27,0,40,2185100,1201
22/3/2021,Kelantan,44,0,34,1906700,2080
22/3/2021,Melaka,12,0,6,932700,191
22/3/2021,Negeri Sembilan,41,0,50,1128800,1134
22/3/2021,Pahang,42,0,2,1678700,1064
22/3/2021,Perak,39,0,33,2510300,1906
22/3/2021,Perlis,0,0,4,254900,352
22/3/2021,Pulau Pinang,88,0,150,1773600,1649
22/3/2021,Sabah,36,0,78,3908500,965
22/3/2021,Sarawak,124,3,237,2816500,2458
22/3/2021,Selangor,403,1,539,6538000,2844
22/3/2021,Terengganu,3,0,20,1259300,1724
22/3/2021,W.P. Kuala Lumpur,158,4,120,1773700,3036
22/3/2021,W.P. Labuan,8,0,1,99600,444
22/3/2021,W.P. Putrajaya,5,0,2,110000,438
23/3/2021,Johor,161,1,266,3781000,1249
23/3/2021,Kedah,51,0,31,2185100,1253
23/3/2021,Kelantan,65,0,32,1906700,2786
23/3/2021,Melaka,45,0,1,932700,1229
23/3/2021,Negeri Sembilan,10,0,26,1128800,3030
23/3/2021,Pahang,38,0,3,1678700,2181
23/3/2021,Perak,4,0,34,2510300,3373
23/3/2021,Perlis,0,0,0,254900,533
23/3/2021,Pulau Pinang,100,0,114,1773600,1830
23/3/2021,Sabah,60,0,42,3908500,653
23/3/2021,Sarawak,140,0,191,2816500,822
23/3/2021,Selangor,625,2,272,6538000,3756
23/3/2021,Terengganu,7,0,23,1259300,2572
23/3/2021,W.P. Kuala Lumpur,64,3,23,1773700,3022
23/3/2021,W.P. Labuan,14,3,0,99600,372
23/3/2021,W.P. Putrajaya,0,0,0,110000,479
24/3/2021,Johor,135,0,90,3781000,3078
24/3/2021,Kedah,49,0,11,2185100,1355
24/3/2021,Kelantan,49,0,48,1906700,3300
24/3/2021,Melaka,52,0,6,932700,1322
24/3/2021,Negeri Sembilan,59,0,7,1128800,2531
24/3/2021,Pahang,43,0,1,1678700,1375
24/3/2021,Perak,42,0,70,2510300,1941
24/3/2021,Perlis,0,0,1,254900,530
24/3/2021,Pulau Pinang,99,0,95,1773600,1838
24/3/2021,Sabah,45,0,24,3908500,563
24/3/2021,Sarawak,141,1,124,2816500,622
24/3/2021,Selangor,490,0,486,6538000,3875
24/3/2021,Terengganu,4,0,38,1259300,2557
24/3/2021,W.P. Kuala Lumpur,53,4,79,1773700,3395
24/3/2021,W.P. Labuan,1,0,2,99600,292
24/3/2021,W.P. Putrajaya,6,0,1,110000,487
25/3/2021,Johor,129,0,196,3781000,3230
25/3/2021,Kedah,44,0,25,2185100,543
25/3/2021,Kelantan,63,0,48,1906700,2854
25/3/2021,Melaka,32,0,7,932700,1153
25/3/2021,Negeri Sembilan,49,0,56,1128800,2018
25/3/2021,Pahang,10,0,8,1678700,1558
25/3/2021,Perak,71,0,27,2510300,976
25/3/2021,Perlis,0,0,1,254900,295
25/3/2021,Pulau Pinang,113,0,150,1773600,1654
25/3/2021,Sabah,70,0,85,3908500,1765
25/3/2021,Sarawak,308,0,187,2816500,520
25/3/2021,Selangor,356,0,591,6538000,3882
25/3/2021,Terengganu,6,0,23,1259300,497
25/3/2021,W.P. Kuala Lumpur,98,1,79,1773700,4074
25/3/2021,W.P. Labuan,3,0,3,99600,193
25/3/2021,W.P. Putrajaya,8,0,5,110000,542
26/3/2021,Johor,120,0,159,3781000,927
26/3/2021,Kedah,27,0,38,2185100,156
26/3/2021,Kelantan,86,0,23,1906700,708
26/3/2021,Melaka,19,0,33,932700,715
26/3/2021,Negeri Sembilan,12,0,19,1128800,1064
26/3/2021,Pahang,6,0,4,1678700,999
26/3/2021,Perak,28,0,41,2510300,1268
26/3/2021,Perlis,2,0,3,254900,311
26/3/2021,Pulau Pinang,137,0,165,1773600,1075
26/3/2021,Sabah,51,0,66,3908500,2411
26/3/2021,Sarawak,213,5,239,2816500,1358
26/3/2021,Selangor,478,14,636,6538000,3498
26/3/2021,Terengganu,3,0,18,1259300,0
26/3/2021,W.P. Kuala Lumpur,86,13,64,1773700,1684
26/3/2021,W.P. Labuan,5,0,1,99600,170
26/3/2021,W.P. Putrajaya,2,0,0,110000,354
27/3/2021,Johor,81,1,111,3781000,1157
27/3/2021,Kedah,33,0,19,2185100,97
27/3/2021,Kelantan,138,0,40,1906700,0
27/3/2021,Melaka,36,0,13,932700,306
27/3/2021,Negeri Sembilan,43,0,14,1128800,0
27/3/2021,Pahang,30,0,3,1678700,3094
27/3/2021,Perak,9,0,31,2510300,710
27/3/2021,Perlis,0,0,0,254900,0
27/3/2021,Pulau Pinang,125,0,145,1773600,119
27/3/2021,Sabah,64,0,47,3908500,3721
27/3/2021,Sarawak,267,1,281,2816500,3824
27/3/2021,Selangor,283,1,384,6538000,2920
27/3/2021,Terengganu,3,0,19,1259300,0
27/3/2021,W.P. Kuala Lumpur,84,2,147,1773700,0
27/3/2021,W.P. Labuan,2,0,2,99600,85
27/3/2021,W.P. Putrajaya,1,0,1,110000,0
28/3/2021,Johor,176,1,191,3781000,2496
28/3/2021,Kedah,23,0,2,2185100,879
28/3/2021,Kelantan,34,0,20,1906700,499
28/3/2021,Melaka,5,0,5,932700,306
28/3/2021,Negeri Sembilan,9,0,18,1128800,0
28/3/2021,Pahang,32,0,5,1678700,800
28/3/2021,Perak,23,0,62,2510300,13
28/3/2021,Perlis,0,0,0,254900,0
28/3/2021,Pulau Pinang,212,0,175,1773600,113
28/3/2021,Sabah,38,0,44,3908500,2696
28/3/2021,Sarawak,426,0,206,2816500,5222
28/3/2021,Selangor,256,0,324,6538000,283
28/3/2021,Terengganu,2,0,2,1259300,3134
28/3/2021,W.P. Kuala Lumpur,58,8,63,1773700,0
28/3/2021,W.P. Labuan,6,0,8,99600,83
28/3/2021,W.P. Putrajaya,2,0,2,110000,0
29/3/2021,Johor,171,0,99,3781000,3384
29/3/2021,Kedah,13,0,65,2185100,3567
29/3/2021,Kelantan,49,0,59,1906700,1964
29/3/2021,Melaka,8,0,5,932700,121
29/3/2021,Negeri Sembilan,18,0,39,1128800,1257
29/3/2021,Pahang,5,0,25,1678700,1139
