date,cases_new,cases_import,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
6/2/2021,3847,4,1692,0,6,120,15,0,133,1020
7/2/2021,3731,8,3369,0,2,138,11,0,43,1164
8/2/2021,3100,1,2340,0,1,26,14,0,29,1426
9/2/2021,2764,6,3887,0,1,22,10,0,51,789
10/2/2021,3288,5,1929,0,0,43,23,0,63,1309
11/2/2021,3384,15,3774,0,0,94,28,0,93,1388
12/2/2021,3318,7,3505,0,0,36,11,0,37,1459
13/2/2021,3499,1,3515,0,0,91,16,0,70,1365
14/2/2021,2464,3,4525,0,11,79,3,0,54,627
15/2/2021,2176,1,4521,0,0,45,9,0,64,497
16/2/2021,2720,0,5718,0,0,85,11,0,57,1372
17/2/2021,2998,7,5709,0,0,83,63,0,103,1302
18/2/2021,2712,4,5320,0,40,35,39,0,43,1118
19/2/2021,2936,9,4889,0,5,37,11,0,112,1230
20/2/2021,2461,0,4782,0,20,61,3,0,298,743
21/2/2021,3297,6,4456,0,7,38,8,0,124,1870
22/2/2021,2192,3,3414,0,1,88,7,0,110,824
23/2/2021,2468,4,4055,0,0,74,3,0,175,805
24/2/2021,3545,1,3331,0,0,70,19,0,29,2338
25/2/2021,1924,6,3752,0,1,76,26,0,105,442
26/2/2021,2253,7,3085,0,11,140,27,0,95,863
27/2/2021,2364,1,3320,0,4,157,6,0,52,801
28/2/2021,2437,1,3251,0,0,114,9,0,85,1131
1/3/2021,1828,7,2486,0,0,56,4,0,113,737
2/3/2021,1555,3,2528,0,1,56,4,0,113,737
3/3/2021,1745,2,2276,0,0,42,3,0,47,665
4/3/2021,2063,9,2922,0,0,105,15,0,99,645
5/3/2021,2154,5,3275,0,6,65,1,0,81,813
6/3/2021,1680,3,2548,0,0,64,15,0,54,428
7/3/2021,1683,10,2506,0,1,60,1,0,61,454
8/3/2021,1529,9,2076,0,6,34,1,0,34,232
9/3/2021,1280,2,2345,0,0,97,13,0,5,357
10/3/2021,1448,10,2137,8,0,87,2,0,15,587
11/3/2021,1647,5,2104,0,2,88,4,0,116,399
12/3/2021,1575,7,2042,0,0,53,3,0,69,244
13/3/2021,1470,12,1830,0,0,53,0,0,89,270
14/3/2021,1354,14,1782,0,0,48,0,0,64,209
15/3/2021,1208,9,1973,0,1,59,1,0,6,238
16/3/2021,1063,4,1365,0,1,76,0,0,8,247
17/3/2021,1219,7,1346,4,1,88,0,0,39,377
18/3/2021,1213,6,1503,0,0,49,2,0,142,195
19/3/2021,1576,11,1996,0,0,80,0,0,298,454
20/3/2021,1671,2,1585,0,0,53,3,0,236,326
21/3/2021,1327,11,1247,3,0,67,0,14,0,343
22/3/2021,1116,8,1495,0,0,19,1,10,111,361
23/3/2021,1384,9,1058,2,0,35,0,8,37,592
24/3/2021,1268,5,1083,0,0,34,22,7,41,385
25/3/2021,1360,1,1491,0,0,110,1,16,62,207
26/3/2021,1275,32,1509,0,0,47,0,31,22,300
27/3/2021,1199,5,1257,0,0,117,6,32,8,243
28/3/2021,1302,9,1127,0,0,28,0,22,283,223
29/3/2021,941,8,1097,0,0,26,0,21,63,155
30/3/2021,1133,8,1148,0,0,41,1,28,87,213
31/3/2021,1482,2,1070,0,0,47,7,62,39,540
1/4/2021,1178,20,1377,0,0,46,3,25,31,270
2/4/2021,1294,26,1442,0,0,43,16,23,22,330
3/4/2021,1638,7,1449,0,0,111,4,19,15,624
4/4/2021,1349,7,1270,0,0,105,7,18,197,254
5/4/2021,1070,9,1294,0,0,97,1,26,14,116
6/4/2021,1300,24,1412,0,9,70,0,35,144,176
7/4/2021,1139,13,1199,4,1,179,13,8,27,156
8/4/2021,1285,17,1175,0,5,63,0,13,105,186
9/4/2021,1854,20,1247,0,2,190,0,32,58,241
10/4/2021,1510,5,1248,0,2,91,3,8,34,131
11/4/2021,1739,8,1216,0,2,141,0,25,56,339
12/4/2021,1317,12,1052,0,0,71,0,3,8,236
13/4/2021,1767,9,1290,0,7,142,1,47,21,342
14/4/2021,1889,6,1485,0,28,116,1,59,94,235
15/4/2021,2148,19,1259,0,33,270,0,118,57,332
16/4/2021,2551,29,1524,0,34,93,0,446,82,227
17/4/2021,2331,12,1832,0,37,99,0,185,39,179
18/4/2021,2195,10,1427,0,19,74,0,183,18,356
19/4/2021,2078,13,1402,0,17,182,0,175,13,171
20/4/2021,2341,7,1592,0,3,121,0,235,4,95
21/4/2021,2340,12,1910,0,14,121,0,325,40,120
22/4/2021,2875,29,2541,0,37,65,1,501,51,152
23/4/2021,2847,4,2341,0,17,131,0,283,62,97
24/4/2021,2717,27,2292,0,19,108,0,242,21,128
25/4/2021,2690,10,1853,0,50,121,0,166,18,349
26/4/2021,2776,4,1803,0,56,113,0,105,17,287
27/4/2021,2733,5,2019,0,17,105,17,161,36,256
28/4/2021,3142,13,1822,0,34,144,18,213,5,57
29/4/2021,3332,9,1943,0,47,138,1,151,45,127
30/4/2021,3788,2,2640,0,36,208,11,271,42,217
1/5/2021,2881,16,2462,0,41,124,0,260,97,166
2/5/2021,3418,10,2698,0,26,253,1,306,6,172
3/5/2021,2500,4,2068,0,86,124,0,142,7,245
4/5/2021,3120,6,2334,0,50,152,0,230,70,199
5/5/2021,3744,7,2304,0,34,141,0,126,34,204
6/5/2021,3551,16,2709,0,58,121,9,195,3,360
7/5/2021,4498,5,3449,0,110,213,2,168,4,376
8/5/2021,4519,5,2719,0,91,124,5,67,10,433
9/5/2021,3733,6,3211,0,54,143,8,83,4,378
10/5/2021,3807,5,3454,0,129,216,0,84,1,210
11/5/2021,3973,5,2848,0,90,137,18,207,0,181
12/5/2021,4765,7,3124,0,38,169,4,137,46,382
13/5/2021,4855,3,3347,0,69,180,3,255,0,323
14/5/2021,4113,1,4190,0,111,215,28,52,0,383
15/5/2021,4140,9,3432,0,169,179,13,57,29,397
16/5/2021,3780,2,3990,0,158,111,3,49,0,262
17/5/2021,4446,3,2784,0,131,203,7,74,0,230
18/5/2021,4865,5,3497,0,158,182,6,74,0,181
19/5/2021,6075,3,3516,0,267,193,1,107,0,687
20/5/2021,6806,2,3916,0,359,230,16,158,0,527
21/5/2021,6493,2,4508,0,310,149,1,75,2,362
22/5/2021,6320,3,4694,0,240,230,25,38,0,365
23/5/2021,6976,9,3587,0,336,317,15,50,6,422
24/5/2021,6509,26,3452,19,244,310,25,45,12,505
25/5/2021,7289,4,3789,0,278,312,43,43,0,367
26/5/2021,7478,5,4665,0,259,234,5,63,0,411
27/5/2021,7857,9,4598,0,247,311,14,43,48,335
28/5/2021,8290,2,4814,0,294,298,7,57,60,625
29/5/2021,9020,6,5527,0,328,385,18,30,78,486
30/5/2021,6999,4,5121,0,161,641,117,399,0,1091
31/5/2021,6824,3,5251,0,148,268,14,33,0,620
1/6/2021,7105,2,6083,0,201,309,22,33,0,469
2/6/2021,7703,2,5777,0,145,265,16,24,54,538
3/6/2021,8209,64,7049,54,197,270,3,22,5,903
4/6/2021,7748,2,6624,0,83,213,4,70,2,879
5/6/2021,7452,8,6105,0,148,274,17,8,66,791
6/6/2021,6241,14,5133,0,64,250,3,35,58,601
7/6/2021,5271,14,7548,0,66,233,31,34,11,442
8/6/2021,5566,4,6962,0,72,268,72,31,7,830
9/6/2021,6239,11,7386,0,47,212,23,28,109,589
10/6/2021,5671,8,7325,0,66,218,21,48,4,825
11/6/2021,6849,4,7749,0,39,185,45,22,30,1865
12/6/2021,5793,6,8334,1,28,233,24,12,44,859
13/6/2021,5304,5,8163,0,39,201,13,33,0,931
14/6/2021,4949,6,6588,0,13,144,46,15,35,881
15/6/2021,5419,6,6831,0,25,218,65,4,3,843
16/6/2021,5150,3,7240,0,7,130,46,4,2,618
17/6/2021,5738,3,7530,0,12,239,16,7,31,1094
18/6/2021,6440,5,6861,0,18,158,49,1,101,1348
19/6/2021,5911,1,6918,0,10,266,82,23,263,1163
20/6/2021,5293,7,5941,0,19,192,33,4,78,1116
21/6/2021,4611,8,5439,0,3,312,16,1,221,917
22/6/2021,4743,2,5557,0,10,219,36,15,85,826
23/6/2021,5244,7,6372,0,24,316,32,33,46,805
24/6/2021,5841,8,5411,0,11,372,43,5,79,1059
25/6/2021,5812,32,6775,0,0,386,33,17,84,1318
26/6/2021,5803,10,5193,0,13,225,16,21,203,1133
27/6/2021,5586,3,4777,0,2,240,58,4,202,1325
28/6/2021,5218,7,4744,0,1,278,12,18,111,1074
29/6/2021,6437,14,5298,0,2,444,32,5,86,1332
30/6/2021,6276,16,4929,0,8,259,62,9,104,877
1/7/2021,6988,5,5580,0,0,305,41,23,209,1341
2/7/2021,6982,3,6278,0,10,339,99,2,13,1358
3/7/2021,6658,11,5677,0,0,244,13,3,187,1152
4/7/2021,6045,20,5271,0,7,297,73,10,34,1121
5/7/2021,6387,26,4532,0,0,350,55,0,40,1182
6/7/2021,7654,11,4797,0,0,288,42,45,46,1746
7/7/2021,7097,26,4863,0,1,370,82,92,166,927
8/7/2021,8868,10,5802,0,6,474,75,23,25,1645
9/7/2021,9180,7,5713,0,2,339,41,5,169,1462
10/7/2021,9353,11,5910,0,12,359,73,13,80,2135
11/7/2021,9105,18,5194,0,4,496,54,1,15,1271
12/7/2021,8574,40,5041,0,3,356,52,7,138,931
13/7/2021,11079,27,5990,0,6,587,41,0,214,1375
14/7/2021,11618,26,6377,0,0,430,189,3,97,1070
15/7/2021,13215,13,6095,0,1,654,67,54,195,1207
16/7/2021,12541,16,6742,0,2,468,99,36,179,1518
17/7/2021,12528,19,6629,0,0,425,100,41,268,1772
18/7/2021,10710,12,5778,0,0,375,69,34,358,1015
19/7/2021,10972,48,6439,4,0,416,55,22,247,1358
20/7/2021,12366,8,7567,0,0,369,128,20,369,1062
21/7/2021,11985,7,7902,0,19,463,107,89,77,952
22/7/2021,13034,25,8436,0,2,611,72,52,191,1163
23/7/2021,15573,32,10094,0,19,474,142,17,101,864
24/7/2021,15902,26,9471,8,3,515,89,36,123,1298
25/7/2021,17045,6,9683,0,3,711,87,28,114,1552
26/7/2021,14516,3,9371,0,7,559,57,19,29,1504
27/7/2021,16117,26,11526,0,1,619,90,30,95,1365
28/7/2021,17405,6,12373,0,6,621,125,25,74,1580
29/7/2021,17170,32,12930,0,2,567,77,19,266,968
30/7/2021,16840,17,12179,0,5,822,84,9,61,1569
31/7/2021,17786,9,11718,0,49,825,64,8,84,1283
1/8/2021,17150,1,11326,0,2,626,140,13,24,1525
2/8/2021,15764,6,11767,0,18,559,58,45,106,1256
3/8/2021,17105,37,12297,0,20,556,81,20,44,906
4/8/2021,19819,23,12704,0,23,748,36,29,74,1169
5/8/2021,20596,34,13893,0,12,682,65,41,165,1346
6/8/2021,20889,13,16394,0,16,492,64,22,92,1260
7/8/2021,19257,16,16323,0,20,579,32,14,97,1080
8/8/2021,18688,10,17055,0,88,475,80,12,106,1172
9/8/2021,17236,29,15187,0,17,534,14,4,182,933
10/8/2021,19991,0,16258,0,32,716,24,29,49,1236
11/8/2021,20780,15,17973,0,33,654,69,8,17,1262
12/8/2021,21668,58,17687,0,11,621,33,15,81,1120
13/8/2021,21468,25,17025,0,15,391,144,43,33,1230
14/8/2021,20670,8,17655,0,6,517,83,19,71,1150
15/8/2021,20546,14,16945,0,9,555,48,28,259,1112
16/8/2021,19740,19,17450,0,12,615,71,16,52,1571
17/8/2021,19631,7,16467,0,13,561,55,2,175,1042
18/8/2021,22242,4,19680,0,24,556,61,4,80,1395
19/8/2021,22948,9,21720,0,27,481,44,10,136,1131
20/8/2021,23564,23,21448,0,6,764,31,33,38,1588
21/8/2021,22262,40,18576,0,21,601,61,12,183,1104
22/8/2021,19807,5,18200,0,7,416,36,4,97,1033
23/8/2021,17672,8,19053,0,6,588,93,5,73,904
24/8/2021,20837,22,18613,0,10,457,29,2,76,1480
25/8/2021,22642,5,20798,0,11,424,68,3,186,1384
26/8/2021,24599,8,22657,0,24,542,93,35,73,1944
27/8/2021,22070,15,21877,0,2,474,17,3,150,1022
28/8/2021,22597,12,19492,0,6,467,84,7,92,1505
29/8/2021,20579,7,20845,0,12,392,16,4,81,1458
30/8/2021,19268,16,21257,0,4,460,37,72,89,1034
31/8/2021,20897,1,18465,0,1,260,38,11,43,734
1/9/2021,18762,5,21073,0,3,515,42,16,23,1109
2/9/2021,20988,1,23473,0,5,351,112,52,81,1110
3/9/2021,19378,14,22399,0,5,562,64,12,102,1191
4/9/2021,19057,10,21582,0,4,250,8,100,54,886
5/9/2021,20396,8,20573,0,6,447,98,23,41,1385
6/9/2021,17352,8,20201,0,0,204,63,23,71,1015
7/9/2021,18547,18,18902,0,0,592,66,19,74,1082
8/9/2021,19733,3,22701,0,1,466,48,58,85,1038
9/9/2021,19307,6,24855,0,0,332,0,74,39,918
10/9/2021,21176,4,21476,0,0,326,36,40,23,1446
11/9/2021,19550,7,21771,0,0,551,99,51,38,1052
12/9/2021,19198,5,20980,0,2,544,12,9,69,947
13/9/2021,16073,21,24813,0,20,427,42,11,32,674
14/9/2021,15669,17,18053,0,6,360,35,5,20,498
15/9/2021,19495,11,18760,0,16,485,91,39,15,556
16/9/2021,18815,7,16939,0,4,456,47,45,54,775
17/9/2021,17577,3,22970,0,3,432,31,13,20,1055
18/9/2021,15549,5,17205,0,1,331,48,23,22,693
19/9/2021,14954,11,23469,0,8,196,39,3,72,720
20/9/2021,14345,43,16814,24,4,447,7,1,10,523
21/9/2021,15759,27,16650,0,3,301,45,15,2,622
22/9/2021,14990,5,19702,0,8,210,35,49,17,595
