date,cases_new,cases_import,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
2021-01-31,3288.677419,6.516129032,2487.354839,0,7.935483871,123.6774194,21.48387097,0,137.2903226,789.0967742
2021-02-28,3064.035714,4.535714286,3834.571429,0,5.714285714,80.96428571,17.96428571,0,97.21428571,1120.857143
2021-03-31,1443.483871,7.580645161,1813.129032,0.548387097,0.612903226,60.77419355,3.548387097,8.096774194,78.77419355,392.7741935
2021-04-30,2107.1,12.93333333,1611.866667,0.133333333,17.53333333,118.6,3.233333333,136.7,45.86666667,226.2
2021-05-31,5278.83871,6.225806452,3614.774194,0.612903226,163.6774194,221.4516129,13.16129032,119.5806452,16.67741935,383.3870968
2021-06-30,5987.4,9.4,6421.4,1.833333333,45.76666667,250.9666667,32.36666667,19.53333333,70.8,941.7
2021-07-31,11654.6129,17.61290323,7482.516129,0.387096774,5.483870968,475.0967742,78.77419355,24.70967742,137.5483871,1314.387097
2021-08-31,20418.77419,15.80645161,17647.96774,0,16.38709677,540.7419355,58.22580645,18.22580645,97.5483871,1228.580645
2021-09-30,18030.45455,10.86363636,20698.22727,1.090909091,4.5,399.3181818,48.54545455,30.95454545,43.81818182,904.0909091
